search_term,name,price,stockcode,cup_price,cup_string,package_size,store
eggs,Coles Free Range Eggs 12 Pack | 700g,6.50,,,$6.50,,Coles
eggs,Coles Free Range Eggs 12 Pack | 600g,6.20,,,$6.20,,Coles
eggs,Coles Cage Free Eggs 12 Pack | 700g,5.80,,,$5.80,,Coles
eggs,Coles Jumbo Free Range Eggs 12 Pack | 800g,7.25,,,$7.25,,Coles
eggs,Coles Free Range Eggs 6 Pack | 300g,4.20,,,$4.20,,Coles
eggs,Sunny Queen Free Range Extra Large Eggs 12 Pack | 700g,8.80,,,$8.80,,Coles
eggs,Sunny Queen Free Range Large Eggs 18 Pack | 900g,11.70,,,"$11.70
Save $1.00",,Coles
eggs,Coles Cage Free Eggs 18 Pack | 900g,8.40,,,$8.40,,Coles
eggs,Pace Farm Eggs For Everyone Free Range 12 Pack | 700g,7.75,,,$7.75,,Coles
eggs,Sunny Queen Cage Free Large Eggs 18 Pack | 900g,9.00,,,"$9.00
Save $1.70",,Coles
eggs,Sunny Queen Free Range X Large Eggs 6 Pack | 350g,5.20,,,$5.20,,Coles
eggs,Good Yolk Co Cage Free Eggs 12 Pack | 700g,6.50,,,$6.50,,Coles
eggs,Sunny Queen Free Range Large Eggs 12 Pack | 600g,8.50,,,$8.50,,Coles
eggs,Coles Organic Free Range Eggs 12 Pack | 600g,10.60,,,$10.60,,Coles
eggs,Sunny Queen Free Range X-large Eggs 30 Pack | 1.75kg,17.00,,,$17.00,,Coles
eggs,Sunny Queen Organic Eggs 12 Pack | 700g,13.00,,,$13.00,,Coles
eggs,Good Yolk Co Cage Free Eggs 12 Pack | 600g,6.20,,,$6.20,,Coles
eggs,Pace Farm Eggs For Everyone Free Range 12 Pack | 800g,9.75,,,$9.75,,Coles
eggs,Sunny Queen Free Range Big Brekkie Browns Eggs 12 Pack | 820g,10.20,,,$10.20,,Coles
eggs,Pace Farm Eggs For Everyone Cage Free 12 Pack | 700g,6.50,,,$6.50,,Coles
eggs,Josh's Rainbow Free Range Eggs 12 Pack | 700g,9.30,,,$9.30,,Coles
eggs,Sunrise Free Range Eggs 12 Pack | 700g,7.40,,,$7.40,,Coles
eggs,Pace Farm Eggs For Everyone Cage Free 12 Pack | 600g,6.00,,,$6.00,,Coles
eggs,Pace Farm Eggs For Everyone Free Range 12 Pack | 600g,7.50,,,$7.50,,Coles
eggs,Yarra Valley Free Range Eggs 12 Pack | 700g,7.50,,,$7.50,,Coles
eggs,Fyfe Family Farm Free Range Eggs 12 Pack | 700g,9.30,,,$9.30,,Coles
eggs,Sunny Queen Organic Free Range Large Eggs 6 Pack | 300g,7.00,,,$7.00,,Coles
eggs,Yallamundi Farm Organic Free Range Eggs 12 Pack | 700g,14.00,,,$14.00,,Coles
eggs,Josh's Rainbow Free Range Eggs 18 Pack | 900g,11.90,,,$11.90,,Coles
eggs,Coles Cage Free Eggs 12 Pack | 800g,6.40,,,$6.40,,Coles
eggs,Mornington Peninsula Free Range 12 Pack | 700g,9.10,,,$9.10,,Coles
eggs,Mornington Peninsula Free Range 6 Pack | 330g,5.30,,,$5.30,,Coles
eggs,Mornington Peninsula Free Range Eggs 12 Pack | 800g,9.60,,,$9.60,,Coles
eggs,Josh's Rainbow Free Range Eggs 12pack | 800g,10.50,,,$10.50,,Coles
eggs,Cadbury Dairy Milk Easter Chocolate Eggs Bag | 243g,13.00,,,$13.00,,Coles
eggs,Cadbury Dairy Milk Hollow Chocolate Easter Egg | 100g,7.00,,,$7.00,,Coles
eggs,Cadbury Crunchie Hollow Chocolate Easter Egg | 110g,7.00,,,$7.00,,Coles
eggs,Coles Finest Italian Chocolate Mini Easter Eggs Pistachio Creme & Milk Chocolate | 120g,5.50,,,$5.50,,Coles
eggs,Coles Finest Sea Salt & Caramel Almond Nougat Milk Chocolate Eggs | 120g,5.50,,,$5.50,,Coles
eggs,M&Ms Crispy Chocolate Speckled Easter Egg Bag | 130g,4.90,,,"$4.90
Save $2.10",,Coles
eggs,Cadbury Caramilk Easter Chocolate Eggs Bag | 113g,7.50,,,$7.50,,Coles
eggs,Cadbury Crunchie Easter Chocolate Eggs Bag | 110g,7.50,,,$7.50,,Coles
eggs,Darrell Lea Nougat Milk Chocolate Egg | 150g,13.00,,,$13.00,,Coles
eggs,Cadbury Mini Eggs Chocolate Easter Bunny | 160g,10.00,,,$10.00,,Coles
eggs,Cadbury Selections Large Easter Chocolate Eggs Bag | 545g,17.50,,,$17.50,,Coles
eggs,Lindt Lindor Easter Assorted Chocolate Eggs Bag | 90g,7.50,,,$7.50,,Coles
eggs,Cadbury Creme Egg Chocolate Easter Gift Box | 170g,13.50,,,$13.50,,Coles
eggs,Darrell Lea Speckled Easter Eggs | 120g,7.50,,,$7.50,,Coles
full cream milk,Coles Full Cream Milk | 3L,4.65,,,$4.65,,Coles
full cream milk,Pauls Zymil Lactose Free Full Cream Milk | 2L,6.80,,,$6.80,,Coles
full cream milk,Pauls Zymil Lactose Free Full Cream Milk | 1L,3.90,,,$3.90,,Coles
full cream milk,Pauls Zymil Lactose Free Milk Full Cream | 3L,9.50,,,$9.50,,Coles
full cream milk,Coles Full Cream Milk | 2L,3.20,,,$3.20,,Coles
full cream milk,Coles Australian Full Cream Long Life Milk | 1L,1.65,,,$1.65,,Coles
full cream milk,Coles Dairy Full Cream Milk | 1L,1.65,,,$1.65,,Coles
full cream milk,Devondale Full Cream Long Life Milk | 1L,2.20,,,$2.20,,Coles
full cream milk,Pauls Farmhouse Gold Full Cream Milk | 1.5L,4.70,,,$4.70,,Coles
full cream milk,Pura Full Cream Milk | 2L,3.95,,,"$3.95
Save $0.55",,Coles
full cream milk,Devondale Full Cream Milk | 3L,5.95,,,$5.95,,Coles
full cream milk,Coles Lactose Free Long Life Full Cream Milk | 1L,2.00,,,$2.00,,Coles
