search_term,calories_kcal,protein_g,carbs_g,fat_g,fibre_g
eggs,143,13,1.1,10.0,0.0
full cream milk,61,3.4,4.8,3.3,0.0
white bread,265,9.0,49.0,3.2,2.7
chicken breast,165,31.0,0.0,3.6,0.0
tuna can,116,26.0,0.0,1.0,0.0
greek yogurt,97,9.0,3.9,5.0,0.0
cheddar cheese,403,25.0,1.3,33.0,0.0
white rice,130,2.7,28.0,0.3,0.4
pasta,131,5.0,25.0,1.1,1.5
rolled oats,389,16.9,66.3,6.9,10.6
wraps,310,8.0,52.0,7.0,3.0
olive oil,884,0.0,0.0,100.0,0.0
butter,717,0.9,0.1,81.1,0.0
bananas,89,1.1,22.8,0.3,2.6
apples,52,0.3,13.8,0.2,2.4
potatoes,77,2.0,17.0,0.1,2.2
brown onions,40,1.1,9.3,0.1,1.7
